plot,x,y,Total_N_mean,NH4_mean,P,pH2,pH1,Al,Ca,K,Mg,Mn,ECEC,BS
222,35,295,4.10036726,3.926942751,28.25900876,4.891603311,4.88,0.14,16.99,0.41,3.93,0.82,23.20,93.25
223,35,305,4.191491236,4.041751758,28.80559608,4.868953741,4.86,0.15,16.31,0.45,4.00,0.87,23.37,93.80
224,35,315,4.373164898,4.216119997,29.54688925,4.881830312,4.88,0.15,16.73,0.52,4.16,0.89,24.16,94.83
225,35,325,4.195550903,4.025736674,29.82134187,4.933099992,4.94,0.13,17.61,0.55,4.29,0.84,24.82,95.70
226,35,335,3.811662937,3.640364504,29.50967973,5.014696419,5.03,0.10,18.50,0.53,4.35,0.72,25.17,96.30
227,35,345,4.348556371,4.152022492,29.14451584,5.106040642,5.13,0.07,19.70,0.50,4.41,0.64,25.67,96.82
228,35,355,4.617993936,4.414802054,28.95669132,5.190779061,5.21,0.06,20.84,0.48,4.42,0.58,26.10,97.20
229,35,365,4.377929198,4.220095819,28.78972507,5.269309254,5.28,0.05,21.51,0.46,4.33,0.53,26.14,97.54
230,35,375,4.396816209,4.27677126,28.51692372,5.328836074,5.33,0.05,21.55,0.44,4.17,0.49,25.85,97.90
231,35,385,4.320088066,4.198379423,28.22206572,5.336973103,5.32,0.05,20.95,0.42,3.98,0.48,25.28,98.27
232,35,395,4.447137792,4.314664048,27.99570973,5.303233948,5.28,0.06,19.75,0.39,3.76,0.47,24.44,98.51
233,35,405,5.226080868,5.093474477,27.79459265,5.202661912,5.18,0.07,18.20,0.36,3.54,0.49,23.37,98.22
234,35,415,6.423878653,6.363719406,27.34613375,5.016192437,5.02,0.08,16.59,0.34,3.33,0.55,22.04,96.50
235,35,425,5.017732513,4.963156845,26.48808989,4.968693268,4.97,0.09,15.98,0.30,3.21,0.56,21.07,95.55
236,35,435,3.89491574,3.96977313,25.5730657,4.960187179,4.95,0.08,15.84,0.25,3.17,0.55,20.14,94.63
237,35,445,3.364842037,3.560581262,24.69927163,4.946025436,4.94,0.07,15.59,0.23,3.18,0.52,19.23,94.22
238,35,455,4.176295711,4.251920573,23.90735617,4.913397078,4.90,0.07,15.12,0.24,3.18,0.49,18.32,94.42
239,35,465,4.984780743,4.918733635,23.13957553,4.850045803,4.84,0.09,14.33,0.26,3.14,0.45,17.27,94.68
240,35,475,6.076288381,5.953379258,22.45107751,4.765530662,4.77,0.12,13.38,0.27,3.06,0.43,16.14,94.68
241,35,485,6.228054118,6.089974236,21.85828356,4.733727743,4.74,0.15,12.76,0.30,2.97,0.43,15.29,94.72
242,35,495,5.573547653,5.429523395,21.37125265,4.755018627,4.75,0.18,12.24,0.35,2.86,0.47,14.73,94.84
243,35,505,6.089715475,5.916640223,21.02272881,4.761934746,4.75,0.20,11.47,0.41,2.69,0.54,14.33,94.47
244,35,515,7.125716208,6.927717023,20.82808342,4.773509944,4.79,0.20,10.71,0.45,2.55,0.60,14.13,93.89
245,35,525,6.24454251,6.086319199,20.73061042,4.827792104,4.86,0.17,10.24,0.46,2.47,0.60,14.16,93.87
246,35,535,5.557278277,5.459878447,20.76680091,4.89281248,4.92,0.12,10.13,0.44,2.45,0.57,14.43,94.34
247,35,545,5.32402294,5.267660941,21.00662348,4.947230138,4.97,0.09,10.39,0.42,2.47,0.53,14.89,95.07
248,35,555,5.450044152,5.396168214,21.73063874,5.043219304,5.07,0.07,11.46,0.43,2.60,0.49,15.80,95.71
249,35,565,5.741192953,5.672826006,22.9413971,5.200816657,5.23,0.06,13.44,0.45,2.88,0.46,17.32,96.33
250,35,575,5.718172236,5.662247105,24.31773723,5.362756575,5.40,0.04,15.89,0.49,3.27,0.43,19.30,96.74
251,35,585,5.547640035,5.509766262,25.71048111,5.487489491,5.54,0.04,18.87,0.52,3.77,0.41,21.84,97.62
252,35,595,6.090311398,6.026599539,26.99846024,5.537257549,5.60,0.04,22.38,0.57,4.34,0.42,24.86,98.71
253,35,605,6.542063285,6.454236925,28.19364451,5.555128332,5.61,0.04,25.99,0.62,4.93,0.43,28.12,99.64
254,35,615,6.704295247,6.624294688,29.21970991,5.575240746,5.61,0.03,28.98,0.67,5.42,0.44,31.01,100.13
255,35,625,6.936408023,6.848184672,29.92190981,5.602266075,5.61,0.03,30.60,0.70,5.64,0.45,32.74,100.11
256,35,635,7.285974731,7.166760755,30.22814227,5.639102446,5.62,0.03,30.79,0.72,5.60,0.44,33.11,99.66
257,45,5,6.673026477,5.96737336,18.85417001,4.864090117,4.99,0.12,14.99,0.32,2.51,0.55,18.29,90.92
258,45,15,6.381568846,5.758948971,19.35171113,4.77663089,4.87,0.13,14.65,0.29,2.49,0.58,18.16,89.71
259,45,25,6.099643642,5.546201994,20.20763859,4.696051314,4.76,0.15,14.75,0.28,2.56,0.62,18.35,89.14
260,45,35,6.001350691,5.432667106,21.66710414,4.660606776,4.71,0.16,15.59,0.29,2.75,0.69,19.04,89.77
261,45,45,5.955296224,5.374593773,23.39347124,4.666695885,4.70,0.18,16.80,0.30,3.00,0.78,19.90,90.46
262,45,55,5.919123394,5.379903775,24.82797583,4.699462353,4.73,0.19,17.95,0.31,3.25,0.88,20.55,90.23
263,45,65,5.922819124,5.42039917,25.46508644,4.728997129,4.76,0.20,18.64,0.30,3.43,0.89,20.76,88.50
264,45,75,6.349786467,5.906170385,25.26172502,4.734878341,4.77,0.21,18.75,0.30,3.53,0.81,20.58,85.34
265,45,85,7.817800206,7.691332649,24.69557017,4.742309903,4.75,0.20,18.68,0.29,3.57,0.71,20.25,82.32
266,45,95,6.637160961,6.661285399,24.24080471,4.843540993,4.81,0.17,19.29,0.31,3.66,0.67,20.16,84.26
267,45,105,4.990942172,4.794808733,23.78207207,4.913028229,4.86,0.14,18.78,0.33,3.55,0.67,19.51,87.49
268,45,115,4.769395535,4.452834064,23.19000322,4.875204619,4.84,0.14,16.65,0.32,3.17,0.67,18.16,88.17
269,45,125,4.691090391,4.350813148,22.6244251,4.824226828,4.83,0.15,14.67,0.31,2.81,0.65,17.10,88.33
270,45,135,4.661374777,4.324634589,22.23311331,4.834675647,4.86,0.15,13.80,0.32,2.64,0.63,17.04,89.64
271,45,145,4.674032176,4.354530115,21.99927602,4.909145515,4.93,0.14,14.29,0.35,2.67,0.61,17.94,91.92
272,45,155,4.544528428,4.285391025,21.7613755,4.993314371,5.00,0.13,15.51,0.36,2.79,0.60,19.11,93.65
273,45,165,4.343613906,4.137354826,21.46367315,5.061684556,5.09,0.12,16.84,0.36,2.94,0.58,20.20,94.42
274,45,175,4.270692142,4.042738602,21.19796963,5.127722046,5.18,0.11,17.87,0.34,3.09,0.53,21.17,95.19
275,45,185,4.209562968,3.968461325,21.01137871,5.165666153,5.24,0.10,18.33,0.32,3.25,0.48,21.92,96.09
276,45,195,4.086747262,3.872260363,20.98819055,5.152770073,5.23,0.09,18.49,0.31,3.41,0.45,22.45,96.64
277,45,205,3.969505641,3.776844352,21.29505643,5.115506529,5.21,0.08,19.30,0.31,3.58,0.46,23.03,96.65
278,45,215,4.015744245,3.81619387,21.95638981,5.071786438,5.19,0.08,20.23,0.32,3.86,0.49,23.80,96.34
279,45,225,4.199184316,4.003994141,22.83743411,5.006232953,5.11,0.08,20.71,0.34,4.21,0.56,24.70,96.23
280,45,235,4.086399975,3.944856586,23.87009147,4.911641836,4.97,0.08,20.80,0.36,4.51,0.64,25.56,96.82
281,45,245,2.724706002,2.676361587,24.9894651,4.795901063,4.80,0.07,20.85,0.37,4.73,0.75,26.19,97.11
282,45,255,2.876756553,2.817601456,25.59757677,4.735112271,4.69,0.08,20.24,0.38,4.62,0.80,25.77,96.37
283,45,265,3.814783447,3.68893671,25.81871202,4.735863162,4.67,0.08,19.51,0.38,4.36,0.81,24.74,94.86
284,45,275,4.001901575,3.85058369,26.14266436,4.784087121,4.73,0.09,19.17,0.38,4.21,0.80,24.10,93.35
285,45,285,3.998579208,3.830858016,26.63308868,4.87382285,4.84,0.10,18.88,0.39,4.16,0.78,23.97,92.88
286,45,295,4.070292575,3.899995271,27.27327288,4.961591063,4.94,0.10,18.67,0.41,4.20,0.78,24.33,94.06
287,45,305,4.328948136,4.159627916,28.06133383,5.002545769,4.98,0.10,18.67,0.46,4.31,0.82,25.00,95.33
288,45,315,5.028898082,4.888465487,28.92075898,4.966360244,4.98,0.10,19.07,0.55,4.46,0.90,25.76,95.78
289,45,325,4.742439569,4.473532494,28.99930097,4.958884748,4.99,0.10,19.46,0.54,4.50,0.84,26.07,96.40
290,45,335,4.074997911,3.578679622,28.4776819,5.002314227,5.04,0.09,19.74,0.46,4.46,0.69,25.93,96.72
291,45,345,4.018315402,3.526654612,28.08610906,5.06794786,5.10,0.08,20.48,0.42,4.46,0.60,25.99,96.43
292,45,355,4.050852996,3.774970284,27.83289574,5.15074092,5.17,0.07,21.56,0.41,4.47,0.55,26.26,96.36
293,45,365,4.045785095,3.903186713,27.55712947,5.228383932,5.24,0.07,22.33,0.39,4.43,0.50,26.37,96.81
294,45,375,4.091232798,4.00371471,27.16400942,5.292996092,5.29,0.07,22.33,0.38,4.27,0.47,26.07,97.49
295,45,385,4.071920305,3.985224332,26.68359172,5.3423184,5.33,0.07,21.33,0.37,3.96,0.45,25.16,97.81
296,45,395,4.132686246,4.037069627,26.16404778,5.378595404,5.35,0.09,19.70,0.36,3.60,0.43,23.92,98.21
297,45,405,4.32604692,4.228771275,25.61222174,5.368531083,5.32,0.10,17.78,0.34,3.28,0.42,22.57,98.09
298,45,415,4.526195185,4.438103304,25.0856613,5.250498663,5.21,0.12,15.94,0.33,3.06,0.46,21.14,96.39
299,45,425,4.361591257,4.301220437,24.53546491,5.089746271,5.07,0.14,14.67,0.31,2.95,0.53,19.83,93.91
300,45,435,4.190438364,4.185576009,23.93255188,4.972851788,4.95,0.14,13.93,0.30,2.92,0.58,18.60,91.54
301,45,445,5.05137143,5.104582152,23.32837954,4.927357932,4.91,0.12,13.58,0.30,2.97,0.58,17.64,91.63
302,45,455,5.832378266,5.843427323,22.6212975,4.913350313,4.87,0.11,13.18,0.31,3.01,0.54,16.84,93.24
303,45,465,4.951926267,4.890582334,21.75747224,4.870168558,4.82,0.14,12.39,0.31,2.95,0.49,15.84,93.67
304,45,475,4.563262673,4.507852382,20.96220661,4.829118852,4.79,0.18,11.79,0.32,2.86,0.46,14.77,94.24
305,45,485,4.570567783,4.51973271,20.30745078,4.802165246,4.77,0.23,11.35,0.34,2.73,0.45,13.85,94.35
306,45,495,4.73486555,4.678310057,19.78634898,4.790870813,4.76,0.25,10.75,0.37,2.56,0.47,13.14,94.00
307,45,505,4.729816687,4.681365132,19.38770216,4.793402733,4.77,0.24,9.98,0.41,2.38,0.50,12.73,94.03
308,45,515,4.676647773,4.63882514,19.21805623,4.808341991,4.80,0.22,9.32,0.43,2.25,0.53,12.65,94.22
309,45,525,4.988147434,4.936257026,19.39243624,4.834345812,4.85,0.19,9.07,0.45,2.21,0.56,12.89,93.89
310,45,535,5.314434361,5.245003761,19.81417805,4.876351833,4.90,0.16,9.32,0.45,2.25,0.58,13.41,93.60
311,45,545,5.572931904,5.494844436,20.4170066,4.941239599,4.97,0.12,9.97,0.45,2.34,0.57,14.20,94.30
312,45,555,5.764529192,5.677686596,21.20148063,5.043904332,5.07,0.08,11.17,0.45,2.48,0.54,15.28,95.18
313,45,565,5.961686533,5.860455968,22.16137894,5.178549959,5.22,0.06,13.02,0.46,2.70,0.49,16.65,95.87
314,45,575,6.357115735,6.239903031,23.23056898,5.311077939,5.36,0.05,15.38,0.48,3.04,0.44,18.41,96.32
315,45,585,6.708099933,6.588400549,24.38198541,5.415688254,5.48,0.04,18.63,0.51,3.53,0.42,20.88,97.09
316,45,595,6.661695324,6.546446386,25.58755026,5.48512942,5.57,0.04,23.24,0.57,4.22,0.43,24.30,98.07
317,45,605,6.684838022,6.578417103,26.7788272,5.523011387,5.60,0.04,28.57,0.64,5.02,0.45,28.36,99.05
318,45,615,6.905805883,6.811880669,27.82336632,5.545193022,5.60,0.04,33.10,0.72,5.71,0.48,32.20,99.98
319,45,625,7.109260698,7.011888337,28.51232891,5.574717133,5.60,0.04,34.88,0.76,6.00,0.48,34.27,100.47
320,45,635,7.249008343,7.133923244,28.78689234,5.619298257,5.61,0.03,33.83,0.75,5.87,0.47,34.16,100.22
321,55,5,6.511060213,5.852909755,17.60005621,4.856287469,5.01,0.15,14.83,0.31,2.49,0.57,17.52,89.25
322,55,15,5.869976377,5.369599739,17.84042804,4.70637778,4.82,0.18,13.82,0.27,2.50,0.61,17.36,87.25
323,55,25,4.839929207,4.549762089,18.36961987,4.56519054,4.66,0.22,13.32,0.24,2.60,0.67,17.42,85.88
324,55,35,5.407977385,5.002115854,20.09502105,4.628579232,4.68,0.19,14.95,0.28,2.86,0.75,18.51,88.44
325,55,45,5.66946647,5.205974829,22.15275583,4.684859503,4.71,0.18,17.16,0.32,3.18,0.86,19.74,90.86
326,55,55,5.661475029,5.295243583,24.00385337,4.678655841,4.71,0.18,19.35,0.37,3.51,0.99,20.80,91.83
327,55,65,5.756091215,5.409144643,24.65411267,4.671017807,4.71,0.21,20.13,0.38,3.66,0.98,20.84,89.67
328,55,75,6.663505836,6.346014487,24.07773015,4.671803367,4.71,0.27,19.54,0.34,3.62,0.83,19.95,84.36
329,55,85,11.21647843,12.21459802,23.32475196,4.657142004,4.69,0.31,19.20,0.31,3.57,0.69,19.15,78.63
330,55,95,5.737176166,7.072280651,23.04596512,4.87232807,4.84,0.23,21.63,0.36,3.82,0.68,19.62,83.40
331,55,105,4.151823918,4.279075602,22.52655596,4.901376914,4.84,0.22,19.56,0.36,3.55,0.69,18.41,86.40
332,55,115,4.613450393,4.360794979,21.8169307,4.777318748,4.75,0.25,15.62,0.32,3.00,0.68,16.55,85.61
333,55,125,4.665670077,4.334900374,21.14675493,4.648792074,4.67,0.30,12.58,0.29,2.51,0.67,15.14,85.21
334,55,135,4.600396564,4.274463845,20.56998971,4.643747614,4.69,0.32,11.34,0.28,2.30,0.65,14.92,86.67
335,55,145,4.476580497,4.205292618,20.05915604,4.759224489,4.78,0.31,11.79,0.30,2.34,0.64,15.78,89.35
336,55,155,4.161559915,4.075755925,19.52376034,4.862545605,4.86,0.27,12.90,0.30,2.44,0.63,16.83,91.48
337,55,165,3.765525046,3.886219947,18.99539542,4.905784658,4.94,0.22,14.17,0.27,2.54,0.62,17.81,91.94
338,55,175,4.093634087,3.980522956,18.8532059,4.999261937,5.06,0.18,15.61,0.27,2.70,0.55,18.89,93.19
339,55,185,4.186481824,3.977012447,18.79685409,5.022523327,5.10,0.15,16.44,0.27,2.88,0.50,19.65,94.50
340,55,195,4.152840577,3.985503387,18.78287448,4.917823008,5.01,0.13,16.41,0.25,3.07,0.49,19.96,94.84
341,55,205,4.115053436,3.955629132,19.18075988,4.856121013,4.97,0.11,17.21,0.25,3.31,0.50,20.62,94.80
342,55,215,4.191616318,3.988412224,20.00745611,4.8610717,4.99,0.11,18.53,0.28,3.64,0.54,21.73,94.79
343,55,225,4.706933673,4.550258726,20.95004696,4.792548814,4.90,0.11,18.90,0.30,4.02,0.61,22.72,94.78
344,55,235,5.58240959,5.628241213,21.96475067,4.681522436,4.75,0.11,18.64,0.33,4.36,0.71,23.66,95.57
345,55,245,3.957766453,3.907088643,23.00839182,4.619506107,4.63,0.11,18.76,0.34,4.56,0.77,24.55,96.37
346,55,255,3.467285619,3.394704772,23.74978623,4.58133332,4.55,0.10,18.65,0.35,4.55,0.80,24.62,95.96
347,55,265,3.664647792,3.643682592,24.22505556,4.553830246,4.52,0.10,18.55,0.36,4.43,0.81,24.26,94.62
348,55,275,3.769596624,3.734434891,24.72242642,4.643858944,4.60,0.09,18.76,0.37,4.34,0.79,24.12,93.42
349,55,285,3.909388537,3.777031096,25.35875451,4.852453363,4.81,0.08,19.23,0.37,4.30,0.72,24.45,93.95
350,55,295,4.150206656,4.001882552,26.13049355,5.056530988,5.01,0.07,19.97,0.38,4.36,0.68,25.28,95.65
351,55,305,4.616420254,4.488690991,26.971975,5.197952247,5.16,0.06,20.73,0.41,4.47,0.68,26.20,96.80
352,55,315,4.610886417,4.399340501,27.60036459,5.126537148,5.14,0.07,21.05,0.45,4.56,0.74,26.80,97.21
353,55,325,4.319158575,3.805682429,27.66516904,5.047469147,5.08,0.09,20.97,0.44,4.55,0.71,26.86,97.54
354,55,335,3.97552218,2.42650264,27.28916799,5.010746896,5.05,0.09,20.53,0.37,4.44,0.60,26.21,97.60
355,55,345,3.8753816,2.35990164,27.02083962,5.042636503,5.08,0.09,21.03,0.34,4.40,0.53,25.92,96.83
356,55,355,3.822477258,3.374681065,26.88148264,5.126111239,5.15,0.08,22.41,0.35,4.43,0.51,26.29,96.24
357,55,365,3.641007543,3.533431236,26.58990626,5.189045522,5.20,0.08,23.20,0.34,4.45,0.48,26.55,96.78
358,55,375,3.390787063,3.428214509,26.10078063,5.244964318,5.24,0.09,23.09,0.33,4.37,0.43,26.36,97.77
359,55,385,3.663649677,3.643879518,25.47403047,5.319066391,5.31,0.09,21.61,0.34,3.91,0.43,24.99,97.55
360,55,395,3.809833924,3.76133281,24.68364009,5.427452396,5.40,0.11,19.68,0.34,3.42,0.40,23.31,97.74
361,55,405,3.616316403,3.582554997,23.72686063,5.56564494,5.50,0.13,17.62,0.33,2.98,0.35,21.61,97.86
362,55,415,3.664151814,3.637519196,23.10781746,5.471482284,5.41,0.16,15.50,0.32,2.74,0.38,19.99,95.64
363,55,425,3.856154859,3.835718685,22.80205448,5.16621345,5.14,0.19,13.58,0.33,2.68,0.50,18.53,91.04
364,55,435,3.390261517,3.418494925,22.37429529,4.934593973,4.92,0.22,12.08,0.34,2.64,0.62,17.10,86.29
365,55,445,3.925333195,4.079383742,21.94231203,4.833942206,4.83,0.20,11.39,0.37,2.70,0.67,16.09,85.62
366,55,455,7.539978369,7.750094296,21.39256576,4.887135048,4.84,0.17,11.46,0.38,2.83,0.60,15.64,91.14
367,55,465,4.724370012,4.710749235,20.50582593,4.878395418,4.82,0.22,10.81,0.37,2.76,0.53,14.72,92.48
368,55,475,3.013776369,3.034849378,19.67776484,4.88525151,4.83,0.27,10.43,0.37,2.70,0.46,13.78,94.03
369,55,485,2.96689779,2.998393941,19.0050001,4.865954633,4.80,0.30,10.09,0.39,2.54,0.45,12.85,93.96
370,55,495,4.070704068,4.086951384,18.46795174,4.825631785,4.76,0.30,9.45,0.40,2.32,0.47,12.03,92.49
371,55,505,3.5896611,3.628258079,17.99843147,4.818697405,4.77,0.27,8.67,0.41,2.11,0.47,11.53,92.63
372,55,515,2.143945872,2.192569825,17.76257186,4.83644839,4.80,0.22,7.99,0.42,1.97,0.47,11.42,93.63
373,55,525,3.902484582,3.927503208,18.23751932,4.833598028,4.82,0.22,8.00,0.43,1.98,0.53,11.85,92.42
374,55,535,5.123582991,5.08374366,18.9955943,4.859225774,4.87,0.19,8.64,0.44,2.07,0.59,12.58,91.70
375,55,545,5.942888692,5.875793444,19.8808448,4.926515887,4.95,0.14,9.67,0.46,2.21,0.62,13.58,92.88
376,55,555,6.21787301,6.129213473,20.70242464,5.038800774,5.06,0.09,11.00,0.46,2.37,0.58,14.81,94.44
377,55,565,6.244374335,6.116140704,21.45074804,5.175285028,5.20,0.07,12.66,0.46,2.54,0.51,16.13,95.46
378,55,575,7.603182595,7.429445409,22.26139113,5.293664148,5.33,0.04,14.62,0.46,2.80,0.44,17.60,96.27
379,55,585,9.577611952,9.458806655,23.17612424,5.380856457,5.43,0.03,17.46,0.48,3.21,0.40,19.71,97.12
380,55,595,7.563910999,7.41868177,24.33108376,5.465496697,5.53,0.03,23.20,0.56,4.01,0.42,23.50,97.84
381,55,605,6.886541578,6.773653204,25.53669152,5.511740369,5.59,0.04,30.28,0.66,4.98,0.46,28.25,98.62
382,55,615,7.339643886,7.312329672,26.67107108,5.520841722,5.58,0.04,37.22,0.78,5.96,0.51,33.25,99.44
383,55,625,7.519348088,7.493838747,27.32961955,5.547263538,5.58,0.04,39.08,0.82,6.29,0.52,35.48,100.21
384,55,635,7.257206914,7.155253941,27.46351463,5.602860065,5.60,0.04,35.79,0.77,5.95,0.49,34.30,100.37
385,65,5,6.4487735,5.816942856,16.80766429,4.924248195,5.06,0.18,14.63,0.32,2.48,0.57,17.04,89.10
386,65,15,5.805351335,5.333643444,17.05855585,4.792277841,4.88,0.22,13.45,0.28,2.53,0.61,17.03,87.54
387,65,25,4.68924586,4.451062367,17.58363586,4.673680002,4.74,0.25,13.13,0.25,2.67,0.67,17.22,86.85
388,65,35,4.915564032,4.641044845,19.2452835,4.756945629,4.78,0.18,14.95,0.29,2.96,0.75,18.33,90.11
389,65,45,5.205965156,4.868306127,21.10644446,4.786932357,4.80,0.17,17.16,0.34,3.27,0.85,19.37,92.69
390,65,55,5.462099991,5.151798385,22.69487939,4.724053518,4.74,0.20,19.16,0.40,3.55,0.96,20.10,93.31
391,65,65,5.543668371,5.229557015,23.22572965,4.681070212,4.71,0.26,19.78,0.41,3.67,0.94,19.83,90.83
392,65,75,5.809465827,5.492905843,22.70464156,4.689142039,4.71,0.33,19.38,0.37,3.61,0.81,18.81,86.09
393,65,85,5.585554117,5.775210814,22.17235522,4.76482912,4.76,0.33,20.20,0.37,3.65,0.72,18.31,83.62
394,65,95,2.560967263,3.155708192,21.87792371,4.942532452,4.88,0.26,22.15,0.42,3.81,0.70,18.42,86.84
395,65,105,3.658136503,3.755665826,21.22925847,4.859698903,4.80,0.30,18.54,0.39,3.35,0.69,16.76,85.62
396,65,115,4.485846612,4.246687216,20.50765626,4.695091029,4.66,0.39,14.05,0.33,2.77,0.67,14.96,83.52
397,65,125,4.581208562,4.271484245,19.81982623,4.550225262,4.55,0.52,10.83,0.29,2.30,0.66,13.70,82.96
398,65,135,4.506231967,4.206517904,19.16503205,4.543280879,4.57,0.58,9.59,0.28,2.07,0.65,13.45,84.34
399,65,145,4.359086399,4.121468505,18.54248876,4.67687201,4.67,0.52,10.02,0.29,2.09,0.64,14.13,86.98
400,65,155,3.971385165,3.954586579,17.92273421,4.833300362,4.82,0.41,11.22,0.28,2.17,0.61,15.14,89.83
401,65,165,3.426538652,3.685283229,17.37074793,4.956235051,4.97,0.30,12.75,0.25,2.27,0.57,16.23,91.62
402,65,175,3.987126594,3.916985772,17.18897459,5.060909764,5.09,0.21,14.23,0.25,2.41,0.50,17.31,92.59
403,65,185,4.132758163,3.941659228,17.14356554,5.082191665,5.13,0.17,15.37,0.24,2.58,0.45,18.11,93.74
404,65,195,4.11716675,3.961350063,17.181253,4.944845128,5.01,0.16,15.58,0.22,2.76,0.46,18.45,94.04
405,65,205,4.086790411,3.936261013,17.60704397,4.838281287,4.92,0.15,16.32,0.23,3.01,0.49,19.08,94.16
406,65,215,4.153582044,3.960552004,18.41576697,4.804908061,4.90,0.14,17.43,0.25,3.34,0.54,20.14,94.40
407,65,225,4.663988488,4.517808193,19.31550115,4.712894378,4.80,0.13,17.54,0.28,3.70,0.60,21.05,94.64
408,65,235,5.669130493,5.709615588,20.23162855,4.602112118,4.66,0.13,17.04,0.30,4.01,0.67,21.88,95.42
409,65,245,4.444192342,4.348532985,21.13591582,4.566353703,4.58,0.14,17.00,0.31,4.19,0.69,22.65,96.15
410,65,255,3.850486665,3.741682739,21.90241217,4.55004436,4.54,0.13,17.07,0.32,4.23,0.68,22.98,96.04
411,65,265,3.704387763,3.68539885,22.54589705,4.53543441,4.51,0.11,17.33,0.33,4.24,0.68,23.25,95.36
412,65,275,3.714635143,3.693384464,23.19098187,4.643172908,4.59,0.09,17.89,0.33,4.26,0.65,23.74,95.28
413,65,285,3.843223548,3.724975276,23.9280177,4.870624397,4.80,0.08,18.99,0.34,4.31,0.60,24.55,95.96
414,65,295,4.074479244,3.935660941,24.75131049,5.093993554,5.04,0.06,20.46,0.34,4.42,0.58,25.64,97.01
415,65,305,4.441032633,4.311401657,25.56790733,5.259003315,5.22,0.05,21.86,0.35,4.51,0.57,26.66,97.86
416,65,315,4.170799027,3.936678031,26.1244747,5.216548521,5.22,0.07,22.54,0.37,4.53,0.61,27.31,98.51
417,65,325,3.946521354,3.430441664,26.34067067,5.146338926,5.17,0.09,22.50,0.37,4.49,0.60,27.38,98.69
418,65,335,3.846006024,2.322882096,26.27433073,5.09636322,5.14,0.10,22.08,0.33,4.37,0.54,26.66,98.41
419,65,345,3.79712481,2.30477687,26.20546803,5.103911844,5.14,0.10,22.52,0.32,4.29,0.51,26.23,97.62
420,65,355,3.70538649,3.278636884,26.15139068,5.150641455,5.17,0.10,23.54,0.34,4.30,0.51,26.36,96.51
421,65,365,3.275403666,3.187775078,25.88103652,5.169169523,5.18,0.10,23.77,0.34,4.30,0.49,26.34,96.49
422,65,375,2.320903124,2.334758425,25.37044903,5.178890817,5.19,0.10,23.04,0.33,4.19,0.46,25.79,96.78
423,65,385,3.260827844,3.261781747,24.64631731,5.238451221,5.25,0.11,21.35,0.35,3.75,0.46,24.30,96.06
424,65,395,3.497783272,3.487043595,23.73170287,5.333244913,5.32,0.12,19.19,0.36,3.26,0.44,22.45,95.80
425,65,405,2.922746504,2.943733335,22.6797956,5.463687902,5.42,0.13,17.01,0.35,2.82,0.40,20.56,95.84
426,65,415,2.9500298,2.977563929,21.95688787,5.381225746,5.34,0.16,14.83,0.35,2.57,0.42,18.83,93.29
427,65,425,3.521553113,3.535740251,21.55017647,5.093338799,5.08,0.24,12.63,0.35,2.49,0.54,17.30,87.77
428,65,435,3.000387643,3.043326898,21.05342176,4.861266752,4.86,0.31,10.74,0.36,2.42,0.65,15.90,82.66
429,65,445,1.99110414,2.048580614,20.52645125,4.731309921,4.74,0.35,9.59,0.38,2.40,0.72,14.85,80.56
430,65,455,4.160339734,4.209393484,20.01787043,4.791913027,4.77,0.31,9.62,0.39,2.51,0.65,14.47,86.16
431,65,465,4.152014855,4.160338733,19.34586502,4.846165354,4.80,0.32,9.53,0.40,2.53,0.57,13.90,90.19
432,65,475,2.844760404,2.885802788,18.62610362,4.881151757,4.82,0.34,9.33,0.41,2.49,0.50,13.12,92.22
433,65,485,2.839120898,2.88930913,18.01448716,4.866137842,4.78,0.35,8.98,0.41,2.34,0.48,12.19,91.27
434,65,495,3.948782305,3.986199705,17.52158316,4.813298585,4.72,0.36,8.34,0.41,2.12,0.49,11.31,88.71
435,65,505,3.613117795,3.663999448,17.10403495,4.787068296,4.71,0.33,7.59,0.41,1.91,0.49,10.77,87.91
436,65,515,2.540330652,2.582095831,16.94487982,4.788640588,4.73,0.28,6.96,0.41,1.79,0.49,10.65,88.46
437,65,525,3.943510796,3.977780799,17.47389298,4.780108277,4.75,0.29,7.07,0.42,1.81,0.55,11.12,87.03
438,65,535,5.03502941,5.010989587,18.30773597,4.81500772,4.81,0.25,7.96,0.43,1.92,0.61,11.95,87.16
439,65,545,5.855765303,5.802861279,19.25346497,4.906091363,4.92,0.17,9.30,0.44,2.08,0.64,13.06,89.56
440,65,555,6.138571701,6.061915623,20.07238673,5.046674785,5.06,0.11,10.84,0.46,2.27,0.61,14.41,92.51
441,65,565,6.194958382,6.073687944,20.73889547,5.205169098,5.21,0.07,12.59,0.46,2.45,0.52,15.84,94.61
442,65,575,7.832812892,7.648096187,21.41762231,5.337897352,5.34,0.05,14.52,0.46,2.68,0.44,17.28,96.10
443,65,585,10.60286015,10.45047665,22.18276661,5.432268025,5.44,0.03,17.25,0.47,3.04,0.39,19.24,97.25
444,65,595,7.646925704,7.497229017,23.2297258,5.514777242,5.54,0.03,22.92,0.54,3.80,0.41,22.81,97.83
445,65,605,6.806582868,6.700786043,24.34596496,5.553913007,5.60,0.04,29.84,0.64,4.72,0.45,27.23,98.43
